Generaci�n,Fitness Promedio,Fitness M�ximo
0,-9999.0,-9999.0
1,-9999.0,-9999.0
2,-9999.0,-9999.0
3,-9999.0,-9999.0
4,-9999.0,-9999.0
5,-9813.23591540318,36442.02114920511
6,-7968.5871576512,36442.02114920511
7,9298.101270863886,41305.49941007468
8,16177.228201591342,44942.80680445219
9,20486.83075102638,45967.8926284583
10,21105.573296389295,45967.8926284583
11,22601.167336224018,49511.472477070165
12,24167.77722261016,52652.627608151575
13,23520.842920403702,52652.627608151575
14,24740.53191582116,53398.098531841875
15,29069.81138997434,53965.8094852664
16,27985.028563671633,54013.18162062504
17,27823.720686073626,54017.234421594505
18,25136.347452792845,54017.234421594505
19,25387.907501442245,57990.19131832873
20,24471.866333469097,57990.19131832873
21,30887.556628903054,57990.19131832873
22,29701.170251664862,58040.47847901004
23,29449.958278556685,58040.47847901004
24,26658.297240963937,58088.67508718705
25,29653.772794678393,58088.67508718705
26,28066.973064475478,58462.037557604264
27,32990.39486474521,58462.037557604264
28,30089.16927623306,58462.037557604264
29,28390.42591437466,58462.037557604264
30,27049.290603625086,58462.037557604264
31,31782.294129545757,58462.037557604264
32,27585.07824821111,58462.037557604264
33,25764.94607251258,58462.037557604264
34,26367.481078830784,59895.84863265057
35,31729.852167873923,59895.84863265057
36,28926.155362613008,59895.84863265057
37,28114.86152851997,59895.84863265057
38,31012.371032640647,59895.84863265057
39,31260.509061835655,59895.84863265057
40,25467.698619752624,59895.84863265057
41,28036.878887735693,59895.84863265057
42,31264.303918301262,59895.84863265057
43,26174.576164636233,59895.84863265057
44,30917.554326795176,59895.84863265057
45,27856.798372134323,59895.84863265057
46,29278.20061241793,59895.84863265057
47,33360.81367818342,59895.84863265057
48,29280.412354447373,59991.63354068943
49,31672.489785405363,59991.63354068943
50,26562.10139376898,59991.63354068943
51,29355.459948397056,59991.63354068943
52,35178.542755499024,59991.63354068943
53,29806.00863908871,59991.63354068943
54,30813.642484715412,60011.1490403521
55,32489.30546104971,60011.1490403521
56,28569.87247269251,60011.1490403521
57,30322.200483612858,60011.1490403521
58,26310.49533127664,61349.99870413749
59,27839.78257966265,61349.99870413749
60,29310.598859218695,63146.8419633812
61,28167.339577024915,63146.8419633812
62,29120.652102149685,63493.29838036961
63,31446.09057367226,63493.29838036961
64,33308.98436668073,63493.29838036961
65,32171.280159406695,63493.29838036961
66,32681.825775085003,63738.38168778436
67,34286.14250875478,63738.38168778436
68,31356.753758226387,63738.38168778436
69,31102.198957110904,63738.38168778436
70,32851.36216302469,63738.38168778436
71,29407.412782044918,63738.38168778436
72,33681.50631418935,63738.38168778436
73,28684.514669870954,63738.38168778436
74,30266.231720485735,63738.38168778436
75,32928.566819443186,63738.38168778436
76,32314.165305788472,63738.38168778436
77,30169.4972669233,63738.38168778436
78,34588.77819677376,63738.38168778436
79,32939.91148373206,63738.38168778436
80,29874.228159073693,63738.45677066496
81,30824.341880054508,63738.45677066496
82,31787.745908138804,64453.218604288944
83,33414.58598579804,64453.218604288944
84,31959.582297863908,64453.218604288944
85,31838.55792021803,64453.218604288944
86,36329.91832485586,64453.218604288944
87,29628.93336635384,64453.218604288944
88,32873.29096633391,64511.610219588685
89,33441.206377510985,64606.41975635033
90,30314.762259762858,64606.41975635033
91,33019.99898543644,64606.41975635033
92,31114.424367641044,64638.12431934112
93,36968.5303772755,64638.12431934112
94,34621.38119142781,64975.22456203719
95,34101.35427930436,64975.22456203719
96,33447.16292435829,64975.22456203719
97,33607.77885575623,64975.22456203719
98,35970.832262623415,64975.22456203719
99,33279.188090916796,64975.22456203719
100,37876.0402794041,64975.22456203719
101,32944.41645763603,64975.22456203719
102,33436.14051821308,64975.22456203719
103,30968.878480588428,64975.22456203719
104,37347.42637804537,64975.22456203719
105,37879.79110487711,64975.22456203719
106,30783.552681276287,64975.22456203719
107,36315.673491682115,64975.22456203719
108,34732.83162155215,64975.22456203719
109,31941.083318083525,64975.22456203719
110,36260.68393606843,64975.22456203719
111,34770.71620169026,64975.22456203719
112,35185.49538355733,64975.22456203719
113,36510.93090428217,64994.075759212144
114,33475.411994156384,64994.075759212144
115,35049.621060803605,65279.17786833329
116,33984.58064961506,65279.17786833329
117,36223.813063698806,65279.17786833329
118,35615.27547353647,65279.17786833329
119,33681.4833620641,65279.17786833329
120,34451.77703685858,65279.17786833329
121,30616.920233658035,65279.17786833329
122,31939.009733462673,65279.17786833329
123,35621.28297808407,65279.17786833329
124,33251.879526515324,65279.42508931541
125,34353.309934654826,65279.42508931541
126,34094.87953697431,65279.42508931541
127,35090.06402004373,65279.42508931541
128,35837.8101177615,65279.42508931541
129,31198.341323150584,65283.20978843134
130,35659.333962138786,65283.20978843134
131,32924.54479360386,65283.20978843134
132,30855.61687221037,65283.20978843134
133,30605.951356693753,65283.20978843134
134,34407.05948721385,65283.20978843134
135,32733.705498220123,65283.20978843134
136,31766.947052524934,65283.20978843134
137,34728.35647013079,65283.20978843134
138,35122.691741149916,65283.20978843134
139,37677.965388952274,65283.20978843134
140,37630.33042890415,65283.20978843134
141,31548.378876425995,65283.20978843134
142,35957.66068014677,65283.20978843134
143,36187.84325260649,65283.20978843134
144,35306.03527712342,65283.20978843134
145,34079.47960202957,65283.20978843134
146,33378.78567223186,65283.20978843134
147,29856.17458887632,65283.20978843134
148,25822.74433430727,65283.20978843134
149,34333.14916241468,65283.20978843134
150,30723.66262589427,65283.20978843134
151,36855.06493984954,65283.20978843134
152,34187.6914674661,65283.20978843134
153,36163.118366423376,65283.20978843134
154,35186.58801019597,65283.20978843134
155,30858.84918356163,65291.89331493929
156,33891.27484244845,65291.89331493929
157,37148.86577354275,65291.89331493929
158,35309.814467816555,65291.89331493929
159,37376.20557681522,65291.89331493929
160,38496.27156850069,65291.89331493929
161,34455.33069038297,65291.89331493929
162,38087.93808465192,65291.89331493929
163,30930.75390503704,65611.57950191232
164,35588.24901832103,65611.57950191232
165,33197.61867243807,65611.57950191232
166,31483.76662396515,65611.57950191232
167,36076.03390609673,65611.57950191232
168,32227.40937611063,65611.57950191232
169,37708.12722227689,65611.57950191232
170,36362.73414474433,65611.57950191232
171,34027.17363170164,65611.57950191232
172,37892.19065062692,65611.57950191232
173,37069.182081481056,65611.57950191232
174,36138.18769823706,65611.57950191232
175,37375.67110969442,65611.57950191232
176,36492.49692723443,65611.57950191232
177,32353.05475524667,65611.57950191232
178,40418.884757728454,65664.05996023172
179,37502.59183346344,65664.05996023172
180,33985.804476595185,65664.05996023172
181,36564.77629814285,65664.05996023172
182,34531.60504136118,65664.05996023172
183,37556.73443708744,65664.05996023172
184,30838.24743554334,65664.05996023172
185,37558.70025546209,65664.05996023172
186,34221.293556023964,65664.05996023172
187,35582.79560411425,65664.05996023172
188,35033.53481035301,65664.05996023172
189,33804.2551456394,65664.05996023172
190,36092.08380430346,65664.05996023172
191,33718.75009285838,65664.05996023172
192,35363.54438563376,65664.05996023172
193,29410.092955606302,65664.05996023172
194,36096.5938230916,65664.05996023172
195,36983.745605765784,65664.05996023172
196,35402.75461132379,65664.05996023172
197,35061.25630047485,65664.05996023172
198,40161.21232639982,65664.05996023172
199,32993.389630451195,65664.05996023172
200,36341.43813050362,65664.05996023172
201,36056.01586826954,65671.40607998228
202,37345.46205244987,66343.74513338234
203,36445.0334968161,66343.74513338234
204,34640.86182923212,66343.74513338234
205,36275.99724449438,66343.74513338234
206,37805.93240403227,66343.74513338234
207,39337.68437838575,66343.74513338234
208,37760.26204833114,66343.74513338234
209,36003.35981144923,66343.74513338234
210,38553.64504340277,66343.74513338234
211,37147.79364379581,66343.74513338234
212,31208.73242117977,66343.74513338234
213,35090.268908708946,66530.68865381337
214,33745.39779954903,66530.68865381337
215,37622.33692573213,66530.68865381337
216,38372.28780366942,66530.68865381337
217,40514.813019384404,66530.68865381337
218,36191.415104218555,66530.68865381337
219,36202.59870026092,66530.68865381337
220,34370.75842588144,66530.68865381337
221,33847.996856982514,66536.68467898118
222,37845.31895172706,66536.68467898118
223,36235.19490007424,66536.68467898118
224,36701.62749953691,66536.68467898118
225,36226.621641169055,66536.68467898118
226,35301.09899268555,66536.68467898118
227,35084.742593893054,66536.68467898118
228,37417.52020508104,66536.68467898118
229,34793.49336464276,66536.68467898118
230,32407.01975715506,66536.68467898118
231,33435.91368739499,66536.68467898118
232,39699.84407594506,66536.68467898118
